00109/2294;Svetozár;Pokorný;9.1.1000
00119/3134;Andrej;Púček;19.1.1500
00122/6301;Benedikt;Majtán;22.1.2000
00125/5759;Filip;Vrábel;25.1.1600
00214/1741;František;Kucharek;14.2.1200
00227/8471;Florián;Korbel;27.2.1800
00308/4843;Zdeno;Omasta;8.3.1600
00316/8040;Blažej;Čičkán;16.3.1200
00317/5985;Severín;Lemeš;17.3.1400
00318/3647;Víťazoslav;Slatinský;18.3.1900
00327/9736;Ervín;Kaňa;27.3.1100
00400/4012;Eduard;Mráz;31.3.1200
00405/9910;Beňadik;Ponechal;5.4.1000
00412/3010;Vlastimil;Cabuk;12.4.1600
00501/5050;Alojz;Cabuk;1.5.1400
00501/8477;Tadeáš;Manda;1.5.1500
00505/1398;Róbert;Plánka;5.5.1500
00517/6267;Iľja;Gábriš;17.5.1700
00600/6903;Servác;Rakovský;31.5.1800
00620/3193;Klaudius;Hurtoš;20.6.1200
00701/6675;Hubert;Černák;1.7.1700
00702/1564;Maroš;Porubský;2.7.1600
00702/1955;Aladár;Matušík;2.7.1100
00704/4553;Aurel;Pokorný;4.7.1200
00713/2107;Tomáš;Čičkán;13.7.1900
00721/3847;Urban;Blažej;21.7.1900
00724/3171;Ľuboš;Rakovský;24.7.1500
00809/4958;Jakub;Kramer;9.8.1400
00812/7814;Severín;Kučera;12.8.1100
00818/5638;Damián;Krčmár;18.8.1400
00819/7449;Rudolf;Vrábel;19.8.1500
00821/1158;Albín;Šípoš;21.8.1300
00821/6648;Gašpar;Slatinský;21.8.1700
00822/4327;Víťazoslav;Hudek;22.8.1100
00823/3529;Damián;Kolárik;23.8.1600
00901/6050;Simon;Lipovský;1.9.1200
00904/9156;Stanislav;Tamáši;4.9.1000
00905/2419;Krištof;Detko;5.9.1600
00910/5740;Oto;Tamáši;10.9.1300
00915/6397;Roland;Palacka;15.9.2000
00920/2697;Juraj;Plánka;20.9.1600
00922/2498;Marcel;Rybárik;22.9.1500
00926/6337;Damián;Kolárik;26.9.1300
01005/1507;Radoslav;Kučera;5.10.1200
01005/8339;Bartolomej;Šmehyl;5.10.1500
01011/6111;Stanislav;Cabuk;11.10.1700
